asin,brand,description,listPrice/currency,listPrice/value,price,price/currency,price/value,reviewsCount,stars,thumbnailImage,title,url
B0C2D3YR7T,Tabelito,"Decent BACKPACK: The Tabelito Backpack / Daypack is made of HIGH QUALITY Anti Scratch Fabric with a sturdy zipper design, making it incredibly sturdy, tear-resistant, and capable of protecting your items from dust, rain, and filth. Even more robust and long-lasting are the strong buckle and zipper. LARGE CAPACITY & MULTI COMPARTMENTS & LIGHT WEIGHT: The backpack has three compartments. There is ample storage for clothes, books, a lunchbox, daily needs, and tech equipment accessories in the separate laptop compartment that fits a 15.6-inch laptop as well as a 15-inch, 14-inch, and 13-inch or Mac book. The middle compartment has enough capacity for a laptop charger, an iPad, a tablet, a smartphone, a document file, and other necessary accessories. There are two small elastic mesh side pockets for water bottles and a front compartment with zipper pockets for easy access items like a mask, wallet, metro card, and wallet. Make your goods more accessible and organised. HIGH QUALITY MATERIAL: The metal zippers on our backpack are made of high-quality, water-resistant Polyester fabric. Lightweight and strong build guarantee daily use that is safe and durable. Perfect for shopping, office work, business travel, weekend trips, and other outdoor activities. It is also the ideal backpack for teens, boys, girls, adults, and other genders.",₹,1249,,₹,399,59,4.7,https://m.media-amazon.com/images/I/41TE4HXLL5L._SX342_SY445_.jpg,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",https://www.amazon.in/dp/B0C2D3YR7T
B09VTC876Z,Brand: FUR JADEN,"Stay organized all day with a durable and lightweight backpack from Fur Jaden. This back pack is a stylish and functional accessory for men and women. Can add admiration to an appealing and daring personality with a remarkable aesthetics and functionality. This backpack features an anti-theft design. You can also charge your phone on the go and organize your stuff like pro. Fur Jaden functional back pack is apt to protect your gadgets and belongings from being stolen while you travel, thanks to its special anti-theft design. Now keep your belongings safe with style. The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease. Weighing about 600grams, this backpack is lightweight. The backpack is able to house a laptop of up to 15.6 inches and has seven inner compartments to place your other essentials. Made from durable quality polymer this Fur Jaden back pack is sturdy and reliable. Flaunt this bag with style and low maintenance as this bag is washable. This backpack is also suitable for school or college. The straps are designed to distribute the weight equally on each shoulder preventing any sort of discomfort. Use this back pack for office, college/school or during travels.",₹,2000,,₹,670,4640,4,https://m.media-amazon.com/images/I/31USN85u3yL._SX342_SY445_.jpg,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",https://www.amazon.in/dp/B09VTC876Z
B09W4VMZ79,Brand: AmazonBasics,,₹,1199,,₹,699,602,4.2,https://m.media-amazon.com/images/I/31E3oDJvJJL._SX300_SY300_QL70_FMwebp_.jpg,AmazonBasics - Casual Backpack/Office Bag/ for a 15.6-inch Laptop,https://www.amazon.in/dp/B09W4VMZ79
B075Y6Y9H5,Brand: Lenovo,,₹,1690,,₹,799,20130,4.2,https://m.media-amazon.com/images/I/51-V+aO2ioL._SY395_SX395_.jpg,Lenovo 15.6-inch Casual Laptop Briefcase T210,https://www.amazon.in/dp/B075Y6Y9H5
B0844R2GMK,POLESTAR,"POLESTAR SPACE : A Spacious and durable laptop backpack for school /college and travel. Easily accommodate 15.6 inch laptop. Size: 47 cm X 30 cm X 23 cm: SPACE is made of high grade water resistant polyester material that gives it strength and durable for long-term use. Is carries 12 months warranty. This “MAKE IN INDIA” Product features 3 large zippered compartments, 1 vertical highlighted long zip pocket at front, 2 water bottle /umbrella pockets, Top padded Handle for comfort.",₹,2199,,₹,549,6336,4,https://m.media-amazon.com/images/I/41odw7VwiDL._SX342_SY445_.jpg,"POLESTAR Space 34 L Bag for College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop Compartment, Water Resistant, Unisex Design, Stylish & Durable, 1 Year Warranty",https://www.amazon.in/dp/B0844R2GMK
B0BHX7GY16,Half Moon,"This backpack is lightweight water-resistant, capacity of approx 37 Ltr, has a soft and ventilated back panel, and is perfect for carrying all your necessities. Adjustable and breathable padded shoulder strap to meet different requirements for both men and women; made from highly rip and water-resistant polyester fabric, provide strengthen and long-lasting performance; roomy enough for your traveling requirements also having a Rain cover.",₹,2899,,₹,849,3072,3.9,https://m.media-amazon.com/images/I/41A8xsuvp2L._SY445_SX342_.jpg,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/dp/B0BHX7GY16
B08CMQD4BC,INOVERA (LABEL),"# Description #  Classic Hobo Purse: Top zipper closure, with 2 side zipper pockets design and elegant tassels decoration, fashionable and practical handbags for women, perfect for shopping, dating, travel and business Updated Women Handbags: High-quality PU leather, Reinforced shoulder strap and improved zipper quality, also improved lining polyester, all faux leather hobo bags have been done anti-shock & wear-resistant tests, good purses and handbags for women Structure: Ladies hobo handbags has one main compartment,1 middle compartment, 1 zipper pocket and 2 slot pockets, with 1 back zipper pocket, enough capacity to organize your daily items, such as 9.7-inch iPad, book, umbrella, wallet, water bottle, iPhone and cosmetics, etc Medium Purses for Women: 32L x 13B x 30H cm. Short handle height: 25cm, This hobo bag comes with a long removable and adjustable shoulder strap, which can be used as a women's shoulder bag or hobo crossbody bag",₹,1999,,₹,1299,8143,4.1,https://m.media-amazon.com/images/I/41vuCvcRl6L._SY395_SX395_.jpg,INOVERA (LABEL) Women Handbags Shoulder Hobo Bag Purse With Long Strap,https://www.amazon.in/dp/B08CMQD4BC
B08FKXCJNQ,Tabelito,,₹,1799,,₹,549,2588,4,https://m.media-amazon.com/images/I/51sDqlIF1YL._SY395_SX395_.jpg,Tabelito® Laptop Bag For Men and women Briefcase 15.6 Inch (39.6 cm) Messenger Side Shoulder Travel bags for mens Water Resistant gifts office bag for men,https://www.amazon.in/dp/B08FKXCJNQ
B09H7PK5ML,TRUE HUMAN,,₹,2499,,₹,649,1825,3.8,https://m.media-amazon.com/images/I/31AloPOkUYL._SX342_SY445_.jpg,TRUE HUMAN Anti-Theft and USB charging port backpack with security lock Laptop bag|office bag| for men and women (Grey),https://www.amazon.in/dp/B09H7PK5ML
B0BSHBC51P,Brand: FUR JADEN,,₹,2500,,₹,1329,502,4.2,https://m.media-amazon.com/images/I/412JEWSyM9L._SY445_SX342_.jpg,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls",https://www.amazon.in/dp/B0BSHBC51P
B097JHQH13,Genie,,,,,,,849,4.3,https://m.media-amazon.com/images/I/414S4nOwLxL._SX342_SY445_.jpg,"Genie Glitter Backpack for Women - 3 compartments, Laptop Bags for Girls, Stylish and Trendy College Backpacks for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose.",https://www.amazon.in/dp/B097JHQH13
B0BZW8KW18,Brand: LOOKMUSTER,,₹,999,,₹,439,22,4.1,https://m.media-amazon.com/images/I/318w0RY1vuL._SX342_SY445_QL70_FMwebp_.jpg,LOOKMUSTER (15.6 inch 30 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/dp/B0BZW8KW18
B09TPY1G1W,ADISA,,₹,1799,,₹,499,959,3.9,https://m.media-amazon.com/images/I/41YT6zZTfRL._SY300_SX300_.jpg,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Black),https://www.amazon.in/dp/B09TPY1G1W
B08L6Q9V1H,Arctic Fox,,₹,349,,₹,229,3338,4.3,https://m.media-amazon.com/images/I/314MtrLpbAL._SX342_SY445_.jpg,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,https://www.amazon.in/dp/B08L6Q9V1H
B0BXFDK5J2,uppercase,,₹,3200,,₹,2400,57,4.2,https://m.media-amazon.com/images/I/41rmHIXv3sL._SX342_SY445_.jpg,"uppercase 26 Ltrs Ryder Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty",https://www.amazon.in/dp/B0BXFDK5J2
B0BS6QM2GD,Brand: NORTH ZONE,"Care Instructions: Do not expose to extreme heat The Hype 1 Casual Backpack from Northzone Sport features an elegant look and feel. It is a perfect every day carry for speedy city commutes, college or school. Keeping it unique and stylish, this Northzone backpack features a versatile shaded design with the Northzone logo print on the face of the bag. Sturdy, spacious and elegant are the spirit of this backpack. Plenty of Space & Pockets: This college bags for girls and boys features two spacious compartments that can each fit book, iPad, A4 size files, lunch box, light clothes, school supplies & accessories. It also features a zip compartment with multiple organizer pockets for keys, pens, pencils, cell phone, power bank, etc. The twin mesh pockets on each side helps pack in a water bottle and a compact umbrella. Lightweight & Sturdy: This school bags for girls and boys features a multi ventilated 10mm robust mesh padding that provides maximum back support. The straps are breathable, padded and adjustable that helps to relieve the stress on your shoulder. The top of the backpack features a webbing loop top handle that helps in carrying the backpack with ease. External Dimension: Length – 33cm, Width – 21cm, Height – 49cm, Weight – 1,000 grams. Capacity – 34 litres. Laptop Compatibility – yes",₹,1599,,₹,569,427,4,https://m.media-amazon.com/images/I/417o3jp0mbL._SX342_SY445_.jpg,NORTH ZONE Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L,https://www.amazon.in/dp/B0BS6QM2GD
